gene,1011_0001_CSS,1011_0002_Control,1011_0003_Control,1011_0004_CSS,1011_0005_Control,1011_0006_Control,1011_0007_CSS,1011_0008_CSS,1011_0009_Control,1011_0010_Control,1011_0011_CSS,1011_0012_CSS,1011_0013_CSS,1011_0014_CSS,1011_0015_CSS,1011_0016_CSS,1011_0017_CSS,1011_0018_CSS,1011_0019_Control,1011_0020_Control,1011_0021_CSS,1011_0022_CSS,1011_0023_CSS,1011_0024_CSS
ENSMUSG00000012076_Brms1l,14.739999999999998,33.07,41.41,17.86,30.979999999999997,27.1,28.759999999999998,23.41,31.05,30.85,35.46,18.34,24.64,34.42,17.34,30.72,38.720000000000006,44.6,25.279999999999998,41.43,34.36,28.64,18.279999999999998,9.47
ENSMUSG00000012114_Med15,11.11,14.03,5.34,7.430000000000001,24.04,17.330000000000002,13.350000000000001,10.61,14.61,16.830000000000002,19.73,14.59,25.47,12.239999999999998,19.459999999999997,15.76,11.68,17.25,16.32,14.12,26.62,12.66,31.610000000000003,18.72
ENSMUSG00000012117_Dhdds,18.87,16.110000000000003,22.419999999999998,12.1,21.25,15.27,21.25,19.53,22.86,15.19,18.41,15.03,19.85,21.36,31.73,6.53,22.830000000000002,32.64,31.959999999999997,28.57,29.51,26.27,21.8,10.709999999999999
ENSMUSG00000012123_Aim1l,11.28,0,5.29,15.66,14.76,11.52,7,2.08,4.1499999999999995,8.43,5.13,3.94,5.3,5.23,2.3099999999999996,2.2,7.430000000000001,5.99,2.69,5.41,7.96,10.8,0,9.27
ENSMUSG00000012126_Ubxn11,24.6,20.959999999999997,22.419999999999998,21.02,20.24,18.55,28.21,19.25,20.43,21.2,17.04,16.779999999999998,22,14.53,26.49,17.939999999999998,19.53,19.77,23.86,15.94,16.4,17.73,16.69,7.31
ENSMUSG00000012296_Tjap1,9.91,9.27,6.89,4.609999999999999,4.59,11.96,6.819999999999999,3.73,8.05,6.17,9.860000000000001,7.7,11.77,8.62,4.75,5.2,5.109999999999999,9.9,6.49,2.67,3.24,14.450000000000001,9.56,7.25
ENSMUSG00000012405_Rpl15,288.87,282.40999999999997,296.78,317.19,347.41999999999996,262.86,279.92999999999995,288.05,281.86,289.16,301.14000000000004,309.95,227.26999999999998,251.94,265.15000000000003,266.39,248.76,258.9,242.23999999999998,270,263.25,211.78,215.41,311.85
ENSMUSG00000012422_Tmem167,13.54,10.97,11.59,14.450000000000001,12.850000000000001,14.04,16.66,15.870000000000001,13.44,14.18,13.1,9.129999999999999,13.56,16.4,11.51,12.129999999999999,18.67,16.74,10.96,15.46,15.67,12.219999999999999,9.82,13.739999999999998
ENSMUSG00000012429_Mplkip,11.3,13.950000000000001,6.26,11.15,6.7700000000000005,6.26,7.26,5.1,8.76,8.51,6.33,4.98,10.59,6.96,9.12,10.370000000000001,8.46,5.99,4.1899999999999995,9.67,15.76,5.33,4.64,11.43
ENSMUSG00000012483_Rpa3,61.49,63.6,87.76,58.04,58.43,84.35,74.66999999999999,76.6,63.43,79.91000000000001,67.36999999999999,58.99,51.04,65.61,51,73.72,95.52,75.29,60.36,61.03,71.9,34.64,49.33,108.29
ENSMUSG00000012535_Tnpo3,15.91,23.3,27.73,11.719999999999999,18.55,17.650000000000002,12.47,31.75,24.779999999999998,19.130000000000003,27.91,21.51,26.23,14.629999999999999,32.56,18.39,27.66,16.330000000000002,26.95,16.41,17.99,17.24,23.330000000000002,12.65
ENSMUSG00000012609_Ttll5,2.4899999999999998,3.7800000000000002,2.79,4.6499999999999995,7.49,1.6,5.1899999999999995,4.28,7.94,3.66,6.48,4.79,9.139999999999999,4.5,6.74,7.54,6.96,8.92,8.07,2,8.9,5.25,6.96,3.09
